Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
01.01.2026	Donnerstag	Neujahr	Jesaja 25,8	Der HERR wird aufheben die Schmach seines Volks in allen Landen.	1. Johannes 4,9	Darin ist erschienen die Liebe Gottes unter uns, dass Gott seinen eingebornen Sohn gesandt hat in die Welt, damit wir durch ihn leben sollen.
02.01.2026	Freitag		Psalm 115,13	Der HERR segnet, die ihn fürchten, die Kleinen und die Großen.	1. Petrus 3,9	Vergeltet nicht Böses mit Bösem oder Scheltwort mit Scheltwort, sondern segnet vielmehr, weil ihr dazu berufen seid, auf dass ihr Segen erbt.
03.01.2026	Samstag		Jeremia 5,3	HERR, deine Augen, sind sie nicht auf Treue gerichtet?	3. Johannes 1,5	Mein Lieber, du handelst treu in dem, was du an den Brüdern tust, zumal an fremden.
04.01.2026	Sonntag	2. Sonntag nach Weihnachten	Psalm 40,2	Ich harrte des HERRN, und er neigte sich zu mir und hörte mein Schreien.	Johannes 5,7-8	Der Kranke antwortete Jesus: Herr, ich habe keinen Menschen, der mich in den Teich bringt, wenn das Wasser sich bewegt; wenn ich aber hinkomme, so steigt ein anderer vor mir hinein. Jesus spricht zu ihm: Steh auf, nimm dein Bett und geh hin!
05.01.2026	Montag		Psalm 28,8	Der HERR ist seines Volkes Stärke.	2. Thessalonicher 2,16-17	Er aber, unser Herr Jesus Christus, und Gott, unser Vater, der uns geliebt und uns einen ewigen Trost gegeben hat und eine gute Hoffnung durch Gnade, der tröste eure Herzen und stärke euch in allem guten Werk und Wort.
06.01.2026	Dienstag	Epiphanias	Psalm 89,10	Du herrschest über das ungestüme Meer, du stillest seine Wellen, wenn sie sich erheben.	Matthäus 8,26	Jesus sagt zu den Jüngern: Ihr Kleingläubigen, warum seid ihr so furchtsam?, und stand auf und bedrohte den Wind und das Meer; und es ward eine große Stille.
07.01.2026	Mittwoch		Hesekiel 33,11	So kehrt nun um von euren bösen Wegen. Warum wollt ihr sterben?	Johannes 3,21	Wer die Wahrheit tut, der kommt zu dem Licht, damit offenbar wird, dass seine Werke in Gott getan sind.
08.01.2026	Donnerstag		5. Mose 3,24	HERR, du hast angefangen, deinem Knecht zu offenbaren deine Herrlichkeit und deine starke Hand.	Johannes 17,24	/Jesus betete:/ Vater, ich will, dass, wo ich bin, auch die bei mir seien, die du mir gegeben hast, damit sie meine Herrlichkeit sehen, die du mir gegeben hast.
09.01.2026	Freitag		Jeremia 31,13	Ich will sie trösten und sie erfreuen nach ihrer Betrübnis.	2. Korinther 1,7	Unsre Hoffnung steht fest für euch, weil wir wissen: Wie ihr an den Leiden teilhabt, so habt ihr auch am Trost teil.
10.01.2026	Samstag		Josua 22,29	Das sei ferne von uns, dass wir uns auflehnen gegen den HERRN und uns heute von ihm abwenden.	1. Timotheus 4,16	Hab acht auf dich selbst und auf die Lehre; beharre in diesen Stücken! Denn wenn du das tust, wirst du dich selbst retten und die, die dich hören.
